"Patch_ID","Species","Life_Stage","Presence","Presence2","Abundance","Density","Survey_Area","Long_M","Lat_M","Habitat","Mangrove_Dist","Reef_Dist","Depth","Slope","BPI_Broad","Mean_Sum_Temp","Mean_Sum_Sal","Mean_Win_Temp","Mean_Win_Sal","Patch_Area","PA_Ratio","Patch_Neigh_Dist","Area_CRHB","Area_SG","Pred_Density","Object_ID"
1761,"LUT GRIS","SUBADULT","1","PRESENCE",0.5,0.00282485875706215,177,273077.9477,92257.702,1,7729.116699,1119.88854980469,-4.479401588,1.323527575,137,30.31822205,35.6084671,23.6175251,36.4344902,8095.12540634877,0.0493988385805577,78.1110093481219,95963.5569029913,250308.620385556,0,221
5904,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,285928.0517,122840.4023,1,5028.675293,2475,-4.085393906,0.425262094,137,30.49770927,35.51097488,23.39237213,36.45779037,2321.57890173269,0.102435246821614,3.75870220024741,138616.277156852,646779.575982693,0,377
4894,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,279842.9481,111024.3747,1,4961.818359,4420.9189453125,-6.522239685,1.037092328,-8,30.46054268,35.52087402,23.23633957,36.22091293,1344.45488154379,0.112805635992248,113.975429623424,12131.0495933091,771191.904972952,0,256
6000,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,286904.198,125418.0286,1,5128.401855,459.264068603516,-8.388457298,1.75499475,-8,30.49344826,35.51097488,23.47262001,36.52534485,1206.8128893863,0.168087786987535,27.7129181105453,109992.284724733,650286.246565142,0,411
308,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,160397.201,28333.5929,5,3726.923828,4398.64990234375,-9.151349068,0.143536702,137,30.40863609,35.51625061,24.66347885,36.12191391,2562.85979918259,0.082893479133836,5.20188916993648,17684.7645839365,609223.844774836,0.00282485875706215,33
1117,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,264291.9185,77913.3619,1,9171.944336,619.203125,-9.700310707,5.47546339,-8,30.06925583,35.56552124,23.76804924,36.31411743,12592.3635746491,0.0384425578885036,26.3931632358087,141323.220856081,630139.427494731,0.00847457627118644,143
4274,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,270087.0682,85925.459,5,7492.63623,563.908752441406,-8.092581749,2.360466242,-8,30.06226158,35.67463684,23.56561279,36.3897438,4532.10250449695,0.054454119468881,19.2517953243463,167638.482725623,151229.367916488,0.00847457627118644,177
680,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,217173.7668,43773.5424,1,9606.959961,488.639617919922,-8.611211777,0.212270349,64,30.58092499,35.51097488,24.03162766,35.97830582,953.726339735919,0.165892203024294,35.9302451949811,53836.306840146,0,0.0466101694915254,97
4633,"LUT GRIS","SUBADULT","0","ABSENCE",0,0,177,268434.1594,88685.3438,1,4694.406738,1564.23876953125,-6.213996887,0.392478645,-8,30.31202316,35.54755402,23.36931038,36.3123703,1129.01801081049,0.118218980534009,13.7222333794151,18725.5056463507,632374.106765991,0.00282485875706215,206
257,"LUT GRIS","SUBADULT","1","PRESENCE",25.75,0.145480225988701,177,203566.8494,40703.0002,4,4805.803223,1518.85827636719,-8.724730492,1.259978533,-8,30.52109909,35.77669907,23.77336121,36.04982758,72122.0521835011,0.0257789827388242,4.45793716307108,75795.9458353552,453000.165733407,0.198785310734463,89
